transaction_id,sender_id,receiver_id,amount,date,location_id
T0208,P096,P061,23608,2026-08-22,L026
T0209,P049,P050,22247,2026-07-22,L027
T0210,P084,P020,16730,2026-01-10,L005
T0211,P065,P076,11378,2026-08-11,L004
T0212,P057,P013,17734,2026-08-22,L015
T0213,P002,P093,5223,2026-04-15,L028
T0214,P084,P020,2951,2026-05-01,L026
T0215,P034,P044,20922,2026-06-27,L013
T0216,P084,P011,11266,2026-08-07,L022
T0217,P069,P049,10876,2026-06-10,L023
T0218,P098,P063,18228,2026-01-10,L020
T0219,P009,P031,21181,2026-06-25,L030
T0220,P037,P030,24970,2026-01-24,L014
T0221,P013,P098,21266,2026-06-30,L028
T0222,P013,P057,5951,2026-06-27,L010
T0223,P004,P006,11129,2026-07-23,L002
T0224,P038,P046,12782,2026-04-21,L005
T0225,P032,P068,14002,2026-05-25,L022
T0226,P024,P022,6236,2026-01-21,L020
T0227,P049,P080,22884,2026-03-03,L016
T0228,P075,P019,8108,2026-04-29,L021
T0229,P033,P059,8866,2026-06-20,L001
T0230,P060,P037,22703,2026-05-20,L006
T0231,P010,P057,11823,2026-05-31,L010
T0232,P082,P055,23120,2026-03-06,L015
T0233,P039,P026,13105,2026-08-07,L016
T0234,P014,P031,12996,2026-05-27,L012
T0235,P074,P038,23413,2026-03-17,L001
T0236,P085,P051,9494,2026-01-03,L019
T0237,P088,P100,24901,2026-01-13,L030
T0238,P078,P096,16776,2026-08-02,L029
T0239,P037,P100,8040,2026-06-05,L026
T0240,P046,P029,21360,2026-02-18,L020
T0241,P033,P087,652375,2026-06-18,L022
T0242,P018,P081,723643,2026-06-10,L021
T0243,P006,P040,267492,2026-05-29,L012
T0244,P094,P017,726906,2026-03-17,L011
T0245,P096,P054,355274,2026-02-03,L026
T0246,P070,P047,513084,2026-08-22,L009
T0247,P022,P033,672832,2026-03-17,L024
T0248,P044,P015,289478,2026-02-06,L025
T0249,P029,P087,603583,2026-04-12,L028
T0250,P072,P047,664545,2026-04-12,L001
